passenger_id,fare,cabin,embarked,boat,body,home.dest,survived
1216,7.7333,,Q,13,,,1
699,8.6625,,S,,,Croatia,0
1267,24.15,,S,,,,0
449,23,,S,4,,"Cornwall / Akron, OH",1
576,13,,S,,,"Barre, Co Washington, VT",0
1083,22.525,,S,,173,,0
898,0,,S,,,,0
560,13,,S,10,,"Finland / Washington, DC",1
1079,7.775,,S,C,,,1
908,9.825,,S,,,,0
313,211.5,C82,C,,,"Elkins Park, PA",0
43,76.2917,D15,C,8,,"Philadelphia, PA",1
233,83.1583,C50,C,7,,"Mt Airy, Philadelphia, PA",1
446,23,,S,4,,"Cornwall / Akron, OH",1
602,20.25,,S,,190,"East Providence, RI",0
884,7.8542,,S,,,,0
497,16,,S,,,"Weston-Super-Mare / Moose Jaw, SK",0
1003,23.25,,Q,16,,,1
36,55,E33,S,6,,"St Leonards-on-Sea, England Ohio",1
1088,7.775,,S,A,,,1
978,8.6625,,S,15,,,1
1030,8.4583,,Q,,,,0
438,65,,S,9,,"Somerset / Bernardsville, NJ",1
766,7.8958,,S,,,,0
661,8.05,,S,C,,"London Skanteales, NY",1
556,26,,S,,,"Hornsey, England",0
1008,7.75,,Q,,,,0
575,21,,S,,,"Plymouth, England",0
775,7.2292,,C,,,,0
162,52,,S,,38,"New York, NY",0
15,25.925,,S,,,"New York, NY",0
1002,23.25,,Q,16,,,1
737,8.1583,,S,,,"Bristol, England Cleveland, OH",0
1162,7.75,,Q,14,,,1
420,11.5,,S,,,"Cornwall / Camden, NJ",0
601,20.25,,S,,,"East Providence, RI",0
877,7.925,,S,,,,0
249,262.375,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY",1
973,7.55,,S,,,,0
407,26,,S,16,,,1
1169,7.25,,S,,32,,0
1197,15.1,,S,,,,0
275,134.5,E34,C,3,,"Tuxedo Park, NY",1
87,30.5,,S,3,,"Philadelphia, PA",1
148,83.475,C83,S,,,"New York, NY",0
1239,8.05,,S,,176,,0
495,15.5792,,C,,,"New York, NY",0
1179,69.55,,S,,,,0
689,7.25,,S,,,"Bridgerule, Devon",0
330,13,,S,,,"West Hoboken, NJ",0
540,26,,S,11,,"Plymouth, Devon / Detroit, MI",1
918,7.2292,,C,,,,0
139,153.4625,C125,S,3,,"Greenwich, CT",1
804,7.75,,Q,,,Ireland,0
1148,7.125,,S,,,,0
1250,7.8958,,S,,,,0
817,8.05,,S,,47,,0
142,79.2,B82 B84,C,,,"New York, NY",0
570,10.5,,S,9,,"Indianapolis, IN",1
55,120,B96 B98,S,4,,"Bryn Mawr, PA",1
50,512.3292,B51 B53 B55,C,3,,"Germantown, Philadelphia, PA",1
447,11.5,,S,,,"Cornwall / Akron, OH",0
173,211.5,C132,C,,45,,0
958,25.4667,,S,,,,0
719,8.05,,S,12,,"London Brooklyn, NY",1
273,134.5,E34,C,3,,"Tuxedo Park, NY",1
710,7.75,,Q,,,"Co Sligo, Ireland Hartford, CT",0
762,20.575,,S,10,,"Devon, England Wichita, KS",1
950,9.4833,,S,,,,0
268,60,C31,S,,,"Huntington, WV",0
355,13,,S,9,,"Sittingbourne, England / San Diego, CA",1
504,13,,S,,,"Harrow-on-the-Hill, Middlesex",0
57,120,B96 B98,S,4,,"Bryn Mawr, PA",1
712,8.05,,S,,,London,0
600,7.55,,S,,,,0
821,20.525,,S,,,"Strood, Kent, England Detroit, MI",0
634,7.8958,,S,,,"Bulgaria Chicago, IL",0
970,7.925,,S,15,,,1
1093,9.2167,,S,,,,0
1178,69.55,,S,,,,0
848,14.1083,,S,,,,0
182,106.425,,C,2,,,1
185,26.55,,S,,,"Stockholm, Sweden",0
716,14.4542,,C,,,Greece,0
722,7.4958,,S,,,,0
744,10.1708,,S,,,Austria,0
1091,8.6625,,S,,,,0
926,7.75,,Q,,,,1
1139,7.8958,,S,,,,0
824,7.05,,S,,,Portugal,0
296,110.8833,C68,C,4,,"Haverford, PA",1
708,7.8542,,S,,,"Goteborg, Sweden Huntley, IL",0
698,8.6625,,S,,,,0
938,7.8542,,S,,,,0
1054,7.75,,Q,,,,0
150,0,B94,S,,110,,0
1184,21.6792,,C,,,,0
1304,14.4542,,C,,328,,0
994,7.2292,F E46,C,,,,0
793,7.25,,S,,,"Illinois, USA",0
704,8.05,,S,,,,0
1154,8.05,,S,,,,0
1214,8.6625,,S,,,,0
293,52,C126,S,5 7,,"London /  East Orange, NJ",1
399,32.5,,S,,,"Greenport, NY",0
1228,7.925,,S,9,,,1
448,13,,S,,,"Devonport, England",0
705,14.4583,,C,,,"Ottawa, ON",0
118,26.55,D34,S,,,"Westcliff-on-Sea, Essex",0
168,80,B28,,6,,,1
761,9.5,,S,,,,0
385,36.75,,S,14,,"St Ives, Cornwall / Hancock, MI",1
496,13,,S,,,"St Austall, Cornwall",0
229,108.9,C65,C,8,,"Madrid, Spain",1
170,0,B52 B54 B56,S,C,,Liverpool,1
947,7.25,,S,13,,,1
668,8.05,,S,,,"England New York, NY",0
1237,7.7958,,S,,,,0
764,20.575,,S,,,"Devon, England Wichita, KS",0
654,7.225,,C,,,,0
181,25.9292,D17,S,8,,"New York, NY",1
1129,7.775,,S,,,,0
337,26,,S,13,,"Norwich / New York, NY",1
329,26,,S,11,,"Warwick, England",1
405,13,,S,,,"Oslo, Norway Bayonne, NJ",0
98,106.425,C86,C,2,,"Deephaven, MN / Cedar Rapids, IA",1
558,13,,S,16,,"Finland / Minneapolis, MN",1
1130,7.775,,S,,,,0
