passenger_id,fare,cabin,embarked,home.dest,survived
295,110.8833,C68,C,"Haverford, PA",0.0
82,31.3875,,S,"Sweden  Worcester, MA",0.0
406,7.7958,,S,,0.0
1242,108.9,C65,C,"Madrid, Spain",0.0
936,13.0,,S,"England / Detroit, MI",0.0
1208,9.325,,S,,0.0
443,26.0,,S,"Warwick, England",0.0
924,7.75,,Q,,0.0
386,16.1,,S,,0.0
1122,7.925,,S,,0.0
80,10.5,,S,London,1.0
227,31.275,,S,"Sweden Winnipeg, MN",0.0
311,10.5,,S,"Walthamstow, England",0.0
351,7.2292,,C,,0.0
342,8.05,,S,,0.0
1300,15.9,,S,"England Brooklyn, NY",1.0
569,7.225,,C,,0.0
610,7.25,,S,,0.0
1226,26.0,,S,"Swindon, England",0.0
431,8.05,,S,"London Skanteales, NY",1.0
1087,13.0,,S,Russia,1.0
814,16.1,,S,,0.0
853,78.85,C46,S,"Little Onn Hall, Staffs",0.0
669,18.7875,,C,,0.0
1089,14.4542,,C,"Syria Ottawa, ON",0.0
874,0.0,B102,S,,0.0
319,31.3875,,S,"Sweden Worcester, MA",0.0
70,9.5,,S,,0.0
536,26.0,,S,"England / San Francisco, CA",0.0
1080,,,,,
1,7.1417,,S,,1.0
478,23.0,,S,"Cornwall / Akron, OH",1.0
77,32.3208,D50,S,"Haddenfield, NJ",0.0
64,113.275,D48,C,"Lexington, MA",0.0
1090,12.35,,Q,"Halifax, NS",1.0
828,7.8958,,S,,0.0
695,7.8958,,S,,0.0
81,14.5,,S,,0.0
224,13.8625,,C,"Spain / Havana, Cuba",1.0
1281,27.9,,S,,0.0
1280,26.3875,E25,S,"Brooklyn, NY",1.0
465,7.8792,,S,,0.0
646,27.7208,D40,C,"New York, NY",1.0
760,52.0,C126,S,"London /  East Orange, NJ",1.0
1179,9.0,,S,"Antwerp, Belgium / Stanton, OH",0.0
320,39.6875,,S,,0.0
717,13.0,,S,"Middleburg Heights, OH",0.0
268,57.0,B20,S,"Calgary, AB",1.0
15,23.25,,Q,,1.0
269,211.5,C132,C,,0.0
175,6.75,,Q,,0.0
192,36.75,,S,"Cornwall / Hancock, MI",1.0
1149,17.4,,S,"Tampico, MT",1.0
283,153.4625,C91,S,"Winnipeg, MB",0.0
359,13.0,,S,"St Ives, Cornwall / Calumet, MI",0.0
1042,31.0,,C,,1.0
494,7.7333,,Q,,1.0
270,7.25,,S,,0.0
466,9.35,,S,"London, England Norfolk, VA",1.0
1200,8.05,,S,,0.0
961,26.55,E12,S,"New York, NY",1.0
477,8.6625,,S,,0.0
