passenger_id,fare,cabin,embarked,home.dest,survived
501,8.05,,S,,0.0
588,21.0,,S,"Ilfracombe, Devon",0.0
402,24.15,,S,,0.0
1193,15.5,,Q,,0.0
686,211.3375,B3,S,"St Louis, MO",1.0
971,7.8792,,Q,"New York, NY",0.0
117,7.8542,,S,,0.0
540,76.7292,D33,C,"New York, NY",1.0
294,24.15,,S,,0.0
261,7.8792,,Q,,0.0
587,8.6625,,S,,0.0
489,18.0,,S,,0.0
2,7.6292,,Q,,0.0
405,19.5,,S,"England / Bennington, VT",1.0
1285,146.5208,B78,C,"Paris, France",0.0
338,49.5,B39,C,"Zurich, Switzerland",1.0
356,37.0042,,C,"Paris / Montreal, PQ",1.0
985,31.3875,,S,"Sweden  Worcester, MA",0.0
182,14.4,,S,"Stanton, IA",0.0
1027,31.3875,,S,"Sweden Worcester, MA",0.0
1023,9.5,,S,,0.0
657,7.925,,S,"Ruotsinphytaa, Finland New York, NY",0.0
891,29.125,,Q,,0.0
716,39.6875,,S,,0.0
1142,26.55,D34,S,"Westcliff-on-Sea, Essex",0.0
520,8.05,,S,,0.0
1268,8.05,,S,,0.0
395,39.0,,S,"Cape Town, South Africa / Seattle, WA",0.0
905,8.05,,S,,0.0
278,7.775,,S,,1.0
239,0.0,,S,Belfast,0.0
1255,26.2875,E24,S,"New York, NY",1.0
1084,25.9292,D17,S,"Brooklyn, NY",1.0
110,21.6792,,C,,0.0
1256,7.75,,Q,,1.0
1307,19.2583,,C,"Syria New York, NY",1.0
822,262.375,B57 B59 B63 B66,C,"Haverford, PA / Cooperstown, NY",0.0
1114,7.75,,Q,"Ireland Brooklyn, NY",0.0
1110,26.55,,S,"New York, NY",1.0
1048,20.525,,S,"Strood, Kent, England Detroit, MI",0.0
1034,13.0,D56,S,London,1.0
568,7.925,,S,,1.0
615,7.7417,,Q,"New York, NY",0.0
840,23.45,,S,,0.0
367,22.025,,S,,1.0
655,7.7333,,Q,"Philadelphia, PA",0.0
1296,29.125,,Q,,0.0
384,14.1083,,S,,0.0
200,0.0,,S,"Liverpool, England / Belfast",0.0
279,21.075,,S,,0.0
65,7.225,,C,,0.0
481,7.3125,,S,,0.0
619,7.925,,S,,1.0
892,7.8292,,Q,,0.0
272,7.25,,Q,"Co Limerick, Ireland Sherbrooke, PQ",0.0
1137,7.75,,Q,,0.0
581,13.0,,S,"Vancouver, BC",0.0
165,14.4542,,C,,0.0
761,164.8667,C7,S,"Youngstown, OH",1.0
998,52.5542,D19,S,"Boston, MA",1.0
592,27.7208,,C,"Mexico City, Mexico",0.0
947,14.4583,,C,,0.0
997,7.225,,C,,0.0
1174,15.2458,,C,,1.0
921,15.5,,Q,,0.0
1282,10.5,,S,"London, England / Marietta, Ohio and Milwaukee, WI",1.0
188,78.85,,S,,1.0
40,7.225,,C,,0.0
783,7.8792,,Q,"Ireland Chicago, IL",0.0
824,9.8375,,S,,0.0
724,7.8542,,S,,0.0
1036,26.0,F2,S,"Nice, France",1.0
316,14.5,,S,,0.0
214,9.5,,S,,0.0
1129,8.05,,S,"Bournemouth, England",0.0
1203,13.0,,S,"Bryn Mawr, PA, USA",0.0
644,24.15,,S,"West Bromwich, England Pontiac, MI",0.0
362,7.225,,C,Syria,0.0
1205,8.6833,,S,,1.0
260,13.9,,S,"West Haven, CT",0.0
19,55.9,E44,S,"Duluth, MN",0.0
255,10.5,E101,S,"Bath, England / Massachusetts",1.0
30,9.6875,,Q,"Cambridge, MA",0.0
1274,7.75,,Q,,0.0
687,56.4958,,S,"Hong Kong New York, NY",1.0
230,6.95,,Q,,0.0
464,7.8958,,S,"Bulgaria Chicago, IL",0.0
1156,50.0,C39,S,London / Birmingham,0.0
674,56.4958,,S,,1.0
253,24.15,,S,"West Bromwich, England Pontiac, MI",0.0
1272,8.05,,S,,0.0
1039,71.0,B22,S,"Milwaukee, WI",0.0
629,10.5,,S,"St Andrews, Guernsey",0.0
731,56.4958,,S,"Hong Kong New York, NY",1.0
1233,73.5,,S,,0.0
553,7.85,,S,"Philadelphia, PA",0.0
264,134.5,E34,C,"Tuxedo Park, NY",1.0
363,7.05,,S,,0.0
1181,7.2292,,C,,0.0
101,83.475,C83,S,"New York, NY",1.0
981,164.8667,,S,"Youngstown, OH",0.0
877,7.75,,Q,,0.0
764,45.5,,S,"London / New York, NY",0.0
1105,60.0,C31,S,"Huntington, WV",1.0
922,9.825,,S,,0.0
315,25.4667,,S,,0.0
780,31.3875,,S,"Sweden Worcester, MA",1.0
982,12.875,,S,,0.0
993,15.5,,Q,,0.0
1269,8.5167,,C,,1.0
54,151.55,C22 C26,S,"Montreal, PQ / Chesterville, ON",0.0
748,10.5,,S,"Chelsea, London",1.0
974,12.475,E121,S,,1.0
1178,7.55,,S,,0.0
487,35.5,T,S,"Trenton, NJ",0.0
775,9.5875,,S,,1.0
471,82.1708,,C,"New York, NY",1.0
1188,26.0,,S,"Worcester, England",1.0
975,61.3792,,C,"Geneva, Switzerland / Radnor, PA",0.0
