,pclass,sex,age,hasFamily,embarked_C,embarked_Q,embarked_S,loc_A,loc_B,loc_C,loc_D,loc_E,loc_F,loc_G,loc_T,loc_X
306,1.0,1,47.0,False,0,0,1,0,0,0,0,1,0,0,0,0
710,1.0,1,42.0,False,0,0,1,1,0,0,0,0,0,0,0,0
298,3.0,1,19.0,False,0,0,1,0,0,0,0,0,0,0,0,1
466,3.0,1,24.0,False,0,0,1,0,0,0,0,0,0,0,0,1
253,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
230,2.0,1,25.0,True,0,0,1,0,0,0,0,0,0,0,0,1
753,2.0,1,32.0,False,0,0,1,0,0,0,0,0,0,0,0,1
14,1.0,0,24.0,False,1,0,0,0,1,0,0,0,0,0,0,0
202,3.0,0,18.0,False,0,0,1,0,0,0,0,0,0,0,0,1
31,3.0,0,22.0,True,0,1,0,0,0,0,0,0,0,0,0,1
532,2.0,1,18.0,False,0,0,1,0,0,0,0,0,0,0,0,1
420,1.0,1,24.0,True,0,0,1,0,1,0,0,0,0,0,0,0
408,3.0,0,22.0,True,0,0,1,0,0,0,0,0,0,0,0,1
630,3.0,1,32.0,False,0,0,1,0,0,0,0,0,0,0,0,1
145,1.0,1,32.0,False,1,0,0,0,1,0,0,0,0,0,0,0
441,3.0,1,44.0,False,0,0,1,0,0,0,0,0,0,0,0,1
521,2.0,1,52.0,False,0,0,1,0,0,0,0,0,0,0,0,1
390,3.0,0,4.0,True,0,0,1,0,0,0,0,0,0,0,0,1
247,1.0,0,63.0,True,0,0,1,0,0,0,1,0,0,0,0,0
811,3.0,1,30.5,False,0,0,1,0,0,0,0,0,0,0,0,1
249,3.0,1,9.0,True,0,0,1,0,0,0,0,0,0,0,0,1
236,1.0,1,25.0,False,1,0,0,0,0,0,0,0,0,0,0,1
338,1.0,0,29.0,False,0,0,1,0,1,0,0,0,0,0,0,0
523,3.0,1,29.0,False,0,0,1,0,0,0,0,0,0,0,0,1
285,1.0,0,36.0,True,0,0,1,0,1,0,0,0,0,0,0,0
65,1.0,1,33.0,False,0,0,1,0,0,0,0,0,0,0,0,1
142,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
670,2.0,1,29.0,True,0,0,1,0,0,0,0,0,0,0,0,1
832,2.0,0,20.0,True,0,0,1,0,0,0,0,0,0,0,0,1
252,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
478,1.0,1,55.0,False,0,0,1,0,0,1,0,0,0,0,0,0
150,1.0,0,35.0,True,0,0,1,0,0,1,0,0,0,0,0,0
97,3.0,0,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
657,1.0,0,45.0,True,0,0,1,0,0,0,1,0,0,0,0,0
447,3.0,1,19.0,False,0,0,1,0,0,0,0,0,0,0,0,1
77,3.0,0,27.0,False,0,0,1,0,0,0,0,0,0,0,0,1
915,1.0,0,36.0,True,0,0,1,0,1,0,0,0,0,0,0,0
