,pclass,sex,age,hasFamily,embarked_C,embarked_Q,embarked_S,loc_A,loc_B,loc_C,loc_D,loc_E,loc_F,loc_G,loc_T,loc_X
378,1.0,1,19.0,True,0,0,1,0,0,0,1,0,0,0,0,0
356,2.0,0,2.0,True,0,0,1,0,0,0,0,0,0,0,0,1
737,3.0,0,1.0,True,0,0,1,0,0,0,0,0,0,0,0,1
85,3.0,1,32.0,False,0,0,1,0,0,0,0,0,0,0,0,1
427,1.0,0,24.0,False,1,0,0,0,0,1,0,0,0,0,0,0
75,2.0,1,16.0,False,0,0,1,0,0,0,0,0,0,0,0,1
680,3.0,1,32.0,False,0,0,1,0,0,0,0,0,0,0,0,1
869,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
422,3.0,1,36.0,True,0,0,1,0,0,0,0,0,0,0,0,1
311,2.0,1,43.0,True,0,0,1,0,0,0,0,0,0,0,0,1
834,3.0,1,16.0,False,0,0,1,0,0,0,0,0,0,0,0,1
331,1.0,1,52.0,True,0,0,1,0,0,0,0,1,0,0,0,0
1,2.0,1,54.0,False,0,0,1,0,0,0,0,0,0,0,0,1
702,1.0,1,42.0,False,0,0,1,0,0,0,1,0,0,0,0,0
317,3.0,0,26.0,True,0,0,1,0,0,0,0,0,0,0,0,1
204,2.0,0,27.0,True,1,0,0,0,0,0,0,0,0,0,0,1
863,1.0,0,64.0,True,1,0,0,0,0,0,0,1,0,0,0,0
910,1.0,1,27.0,True,0,0,1,0,0,0,0,1,0,0,0,0
628,1.0,0,16.0,False,0,0,1,0,1,0,0,0,0,0,0,0
395,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
140,3.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
881,2.0,0,21.0,True,0,0,1,0,0,0,0,0,0,0,0,1
255,3.0,0,39.0,True,0,1,0,0,0,0,0,0,0,0,0,1
641,3.0,1,22.0,True,0,0,1,0,0,0,0,0,0,0,0,1
403,3.0,0,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
653,1.0,1,29.0,True,0,0,1,0,0,1,0,0,0,0,0,0
443,1.0,0,30.0,False,0,0,1,0,1,0,0,0,0,0,0,0
239,1.0,1,6.0,True,1,0,0,0,0,0,0,1,0,0,0,0
261,3.0,0,27.0,True,0,0,1,0,0,0,0,0,0,0,0,1
312,2.0,0,25.5,False,0,0,1,0,0,0,0,0,0,0,0,1
162,1.0,0,36.0,True,0,0,1,0,0,0,0,1,0,0,0,0
892,3.0,1,32.0,False,0,0,1,0,0,0,0,1,0,0,0,0
496,2.0,1,48.0,False,0,0,1,0,0,0,0,0,0,0,0,1
888,3.0,1,33.0,False,0,0,1,0,0,0,0,0,0,0,0,1
864,3.0,0,30.0,False,0,1,0,0,0,0,0,0,0,0,0,1
715,2.0,0,34.0,False,0,0,1,0,0,0,0,0,0,0,0,1
585,1.0,1,42.0,False,0,0,1,0,0,0,0,0,0,0,0,1
440,2.0,1,0.6667,True,0,0,1,0,0,0,0,0,0,0,0,1
458,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
54,2.0,0,40.0,False,0,0,1,0,0,0,0,0,0,0,0,1
45,1.0,1,30.0,False,0,0,1,0,0,0,0,0,0,0,0,1
352,1.0,1,42.0,False,0,0,1,0,0,0,0,1,0,0,0,0
172,2.0,0,13.0,True,0,0,1,0,0,0,0,0,0,0,0,1
479,3.0,1,26.0,True,0,0,1,0,0,0,0,0,0,0,0,1
330,3.0,0,22.0,True,1,0,0,0,0,0,0,0,0,0,0,1
529,1.0,0,53.0,True,0,0,1,0,0,1,0,0,0,0,0,0
279,2.0,0,24.0,False,0,0,1,0,0,0,0,0,1,0,0,0
451,3.0,0,0.75,True,1,0,0,0,0,0,0,0,0,0,0,1
39,3.0,0,27.0,True,0,0,1,0,0,0,0,1,0,0,0,0
634,1.0,1,42.0,False,0,0,1,0,0,0,1,0,0,0,0,0
681,2.0,1,30.0,False,0,0,1,0,0,0,0,0,0,0,0,1
18,2.0,1,21.0,False,0,0,1,0,0,0,0,0,0,0,0,1
320,1.0,1,50.0,True,0,0,1,0,0,0,0,0,0,0,0,1
156,1.0,1,22.0,False,1,0,0,0,0,0,0,0,0,0,0,1
222,3.0,1,44.0,False,0,0,1,0,0,0,0,0,0,0,0,1
266,1.0,0,55.0,True,0,0,1,0,0,1,0,0,0,0,0,0
210,1.0,0,36.0,True,1,0,0,0,1,0,0,0,0,0,0,0
669,3.0,0,37.0,False,0,0,1,0,0,0,0,0,0,0,0,1
50,2.0,1,23.0,False,1,0,0,0,0,0,0,0,0,0,0,1
688,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
878,3.0,1,32.0,False,0,0,1,0,0,0,0,0,0,0,0,1
154,3.0,1,21.0,False,0,0,1,0,0,0,0,0,0,0,0,1
692,1.0,1,17.0,False,0,0,1,0,0,0,0,0,0,0,0,1
122,1.0,0,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
601,3.0,1,17.0,False,0,0,1,0,0,0,0,0,0,0,0,1
167,3.0,0,17.0,False,1,0,0,0,0,0,0,0,0,0,0,1
505,3.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
693,3.0,1,48.0,False,0,0,1,0,0,0,0,0,0,0,0,1
837,3.0,1,25.0,True,0,0,1,0,0,0,0,0,0,0,0,1
726,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
10,3.0,1,32.0,True,0,0,1,0,0,0,0,0,0,0,0,1
