,fare,embarked,survived,pclass,sex,age,sibsp,parch,loc
0,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
1,21.0,2,0.0,2.0,1,43.0,0.0,1.0,8
2,24.15,2,0.0,3.0,0,10.0,0.0,2.0,8
3,15.5,1,0.0,3.0,1,24.0,0.0,0.0,8
4,211.3375,2,1.0,1.0,0,43.0,0.0,1.0,1
5,7.8792,1,0.0,3.0,0,27.0,0.0,0.0,8
6,7.8542,2,0.0,3.0,1,33.0,0.0,0.0,8
7,76.7292,0,1.0,1.0,0,49.0,1.0,0.0,3
8,24.15,2,0.0,3.0,1,36.0,1.0,1.0,8
9,7.8792,1,0.0,3.0,1,24.0,0.0,0.0,8
10,8.6625,2,0.0,3.0,0,22.0,2.0,0.0,8
11,18.0,2,0.0,3.0,1,31.0,3.0,0.0,8
12,7.6292,1,0.0,3.0,0,24.0,0.0,0.0,8
13,19.5,2,1.0,2.0,0,13.0,0.0,1.0,8
14,146.5208,0,0.0,1.0,1,57.0,1.0,0.0,1
15,49.5,0,1.0,1.0,0,22.0,0.0,2.0,1
16,37.0042,0,1.0,2.0,0,24.0,1.0,1.0,8
17,31.3875,2,0.0,3.0,1,40.0,1.0,5.0,8
18,14.4,2,0.0,3.0,1,0.3333,0.0,2.0,8
19,31.3875,2,0.0,3.0,1,13.0,4.0,2.0,8
20,9.5,2,0.0,3.0,1,36.0,0.0,0.0,8
21,7.925,2,0.0,3.0,1,28.0,2.0,0.0,8
22,29.125,1,0.0,3.0,1,4.0,4.0,1.0,8
23,39.6875,2,0.0,3.0,1,16.0,4.0,1.0,8
24,26.55,2,0.0,1.0,1,39.0,0.0,0.0,3
25,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
26,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
27,39.0,2,0.0,2.0,1,60.0,1.0,1.0,8
28,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
29,7.775,2,1.0,3.0,1,26.0,0.0,0.0,8
30,0.0,2,0.0,1.0,1,39.0,0.0,0.0,8
31,26.2875,2,1.0,1.0,1,42.0,0.0,0.0,4
32,25.9292,2,1.0,1.0,0,48.0,0.0,0.0,3
33,21.6792,0,0.0,3.0,1,24.0,2.0,0.0,8
34,7.75,1,1.0,3.0,0,24.0,0.0,0.0,8
35,19.2583,0,1.0,3.0,0,5.0,2.0,1.0,8
36,262.375,0,0.0,1.0,1,61.0,1.0,3.0,1
37,7.75,1,0.0,3.0,1,31.0,0.0,0.0,8
38,26.55,2,1.0,1.0,1,34.0,0.0,0.0,8
39,20.525,2,0.0,3.0,1,33.0,1.0,1.0,8
40,13.0,2,1.0,2.0,1,34.0,0.0,0.0,3
41,7.925,2,1.0,3.0,0,26.0,0.0,0.0,8
42,7.7417,1,0.0,3.0,1,25.0,0.0,0.0,8
43,23.45,2,0.0,3.0,1,24.0,1.0,2.0,8
44,22.025,2,1.0,3.0,1,29.0,3.0,1.0,8
45,7.7333,1,0.0,3.0,1,31.0,0.0,0.0,8
46,29.125,1,0.0,3.0,1,8.0,4.0,1.0,8
47,14.1083,2,0.0,3.0,1,41.0,2.0,0.0,8
48,0.0,2,0.0,1.0,1,39.0,0.0,0.0,8
49,21.075,2,0.0,3.0,0,29.0,0.0,4.0,8
50,7.225,0,0.0,3.0,1,25.0,0.0,0.0,8
51,7.3125,2,0.0,3.0,1,24.0,0.0,0.0,8
52,7.925,2,1.0,3.0,1,20.0,1.0,0.0,8
53,7.8292,1,0.0,3.0,1,24.0,0.0,0.0,8
